name,band,classes,agree
12June10Camera1-Card1-0007.jpg,?,4,0.308721322537112
12June10Camera1-Card1-0009.jpg,?,2,0.10581395348837208
14June10Camera1-Card1-0507.jpg,dense,2,0.010869565217391297
25June10Camera2-Card1-0401.jpg,medium,9,0.1843300732189621
17May10Camera2-Card1-5745.jpg,dense,8,0.24340058209694548
11June10Camera1-Card1-0154.jpg,medium,5,0.11777428395183062
17May11Camera1-Card3-0147.jpg,dense,10,0.2628063018841693
18May11Camera2-Card5-0293.jpg,sparse,3,0.06883333333333334
18May11Camera2-Card5-0027.jpg,dense,5,0.415709229882301
18May11Camera2-Card5-0081.jpg,medium,8,0.1760493932390847
17June11Camera1-Card5-0537.jpg,dense,4,0.2710863238426642
20May11Camera1-Card11-0680.jpg,medium,9,0.3171683323475184
18June11Camera2-Card7-586.jpg,medium,2,0.22729303156640862
30May12Camera2-Card2-0254.jpg,?,5,0.26173594271206896
30May12Camera1-Card1-0864.jpg,?,2,0.4625
27May12Camera1-Card2-0406.jpg,dense,2,0.2663187855787476
27May12Camera1-Card2-0449.jpg,medium,2,0.07459677419354838
19June12Camera2-Card7-0216.jpg,dense,2,0.042749181473106634
19June12Camera1-Card4-0212.jpg,dense,5,0.42447148198333834
30May12Camera2-Card1-0481.jpg,sparse,6,0.11751256175435955
27May12Camera1-Card1-225.jpg,medium,4,0.27597865711113057
17June13Camera1-Card1-0048.jpg,?,9,0.26243761126251175
17June13Camera1-Card1-0051.jpg,?,14,0.24969270053564538
23May13Camera1-Card1-0149.jpg,dense,10,0.4048724374484878
18June13Camera2-Card2-1216.jpg,medium,2,0.25
18June13Camera1-Card2-0310.jpg,medium,3,0.553964265773311
23May13Camera2-Card1-0886.jpg,dense,8,0.2423689076552651
23May13Camera1-Card1-0465.jpg,medium,2,0.8333333333333334
18May15Camera2-Card5-00762.jpg,medium,3,0.10883190883190881
18May15Camera2-Card5-00825.jpg,sparse,2,0.16855203619909503
17May15Camera2-Card3-00019.jpg,dense,3,0.4376635736378776
18May15Camera1-Card6-197.jpg,medium,6,0.21895389631095227
18May15Camera1-Card6-426.jpg,medium,5,0.32658751414070564
19May18Camera1-Card1-0759.jpg,sparse,3,0.04772727272727273
19May18Camera1-Card1-2387.jpg,sparse,4,0.3531710164576508
14June21Camera1-Card1-220.jpg,sparse,4,0.43406361570918534
20June21Camera2-Card3-3196.jpg,dense,3,0.1514448156614501
18May21Camera2-Card1-05354.jpg,medium,6,0.20850218858570235
18June21Camera2-Card3-182.jpg,dense,8,0.29062888967767364
18June21Camera1-Card2-06389.jpg,medium,3,0.2199874388443737
18June21Camera2-Card2-08466.jpg,sparse,2,0.3679417122040073
