name,band,classes,agree
12June10Camera1-Card1-0007.jpg,?,4,0.175609243697479
12June10Camera1-Card1-0009.jpg,?,2,0.12900900900900902
14June10Camera1-Card1-0507.jpg,dense,2,0.21319603356216632
25June10Camera2-Card1-0401.jpg,medium,9,0.32367110255999143
17May10Camera2-Card1-5745.jpg,dense,8,0.2573037315237269
11June10Camera1-Card1-0154.jpg,medium,5,0.3021193932118302
17May11Camera1-Card3-0147.jpg,dense,10,0.3388367274158653
18May11Camera2-Card5-0293.jpg,sparse,3,0.3545833333333333
18May11Camera2-Card5-0027.jpg,dense,5,0.27877060074428495
18May11Camera2-Card5-0081.jpg,medium,8,0.3558085317460318
17June11Camera1-Card5-0537.jpg,dense,4,0.2662115802930237
20May11Camera1-Card11-0680.jpg,medium,9,0.22429641821940877
18June11Camera2-Card7-586.jpg,medium,2,0.5194735428417943
30May12Camera2-Card2-0254.jpg,?,5,0.04614417489572005
30May12Camera1-Card1-0864.jpg,?,2,0.27901785714285715
27May12Camera1-Card2-0406.jpg,dense,2,0.3783882283267277
27May12Camera1-Card2-0449.jpg,medium,2,0.0842391304347826
19June12Camera2-Card7-0216.jpg,dense,2,0.2003520270213593
19June12Camera1-Card4-0212.jpg,dense,5,0.7735703918722787
30May12Camera2-Card1-0481.jpg,sparse,6,0.30102853936187274
27May12Camera1-Card1-225.jpg,medium,4,0.10379168331145733
17June13Camera1-Card1-0048.jpg,?,9,0.20482419998245904
17June13Camera1-Card1-0051.jpg,?,14,0.18081537772354142
23May13Camera1-Card1-0149.jpg,dense,10,0.2615068421729768
18June13Camera2-Card2-1216.jpg,medium,2,0.1111111111111111
18June13Camera1-Card2-0310.jpg,medium,3,0.4168219944082014
23May13Camera2-Card1-0886.jpg,dense,8,0.40701638207707325
23May13Camera1-Card1-0465.jpg,medium,2,0.8140350877192983
18May15Camera2-Card5-00762.jpg,medium,3,0.41264069264069264
18May15Camera2-Card5-00825.jpg,sparse,2,0.625
17May15Camera2-Card3-00019.jpg,dense,3,0.7086590262980162
18May15Camera1-Card6-197.jpg,medium,6,0.4330983069085974
18May15Camera1-Card6-426.jpg,medium,5,0.4441381203164557
19May18Camera1-Card1-0759.jpg,sparse,3,0.5585858585858586
19May18Camera1-Card1-2387.jpg,sparse,4,0.5944746376811594
14June21Camera1-Card1-220.jpg,sparse,4,0.6041666666666667
20June21Camera2-Card3-3196.jpg,dense,3,0.385024154589372
18May21Camera2-Card1-05354.jpg,medium,6,0.27467221024136573
18June21Camera2-Card3-182.jpg,dense,8,0.49152983094807573
18June21Camera1-Card2-06389.jpg,medium,3,0.458698483088727
18June21Camera2-Card2-08466.jpg,sparse,2,0.3574053137365743
